SpaceBarMetric,5

TimesDiedMetric,0

Level1FinishTimeMetric,

SpaceBarMetric,5

TimesDiedMetric,0

Level1FinishTimeMetric,

SpaceBarMetric,5

TimesDiedMetric,0

Level1FinishTimeMetric,

SpaceBarMetric,5

TimesDiedMetric,0

Level1FinishTimeMetric,

SpaceBarMetric,5

TimesDiedMetric,0

Level1FinishTimeMetric,
,122.6231

SpaceBarMetric,5

TimesDiedMetric,0

Level1FinishTimeMetric,

SpaceBarMetric,3

TimesDiedMetric,0

Level1FinishTimeMetric,

SpaceBarMetric,3

TimesDiedMetric,0

Level1FinishTimeMetric,

SpaceBarMetric,2

TimesDiedMetric,0

Level1FinishTimeMetric,

SpaceBarMetric,2

TimesDiedMetric,0

Level1FinishTimeMetric,

SpaceBarMetric,1

TimesDiedMetric,0

Level1FinishTimeMetric,

SpaceBarMetric,0

TimesDiedMetric,0

Level1FinishTimeMetric,

SpaceBarMetric,0

TimesDiedMetric,0

Level1FinishTimeMetric,

SpaceBarMetric,0

TimesDiedMetric,0

Level1FinishTimeMetric,

SpaceBarMetric,0

TimesDiedMetric,0

Level1FinishTimeMetric,
,336.9951

